"■資産合計欄"
"","時価評価額[円]","前日比[円]","前日比[％]","前月比[円]","前月比[％]","評価損益[円]","評価損益[％]","","実現損益[円]","配当・分配金[円貨]","配当・分配金[外貨]"
"資産合計","4,641,543","+17,202","+0.37","+550,187","+13.45","+1,594,369","-","","+135,812","5,224","41.07"

"保有商品の評価額合計","4,381,580","+16,775","+0.38","+433,040","+10.97","+1,594,369","-","","","",""
"国内株式","481,935","+12,079","+2.57","+143,019","+42.20","+204,581","-","","+53,502","5,224",""
"米国株式","119,530","+390","+0.33","+22,409","+23.07","+42,994","-","","+82,310","0","41.07"
"中国株式","0","0","0.00","0","0.00","0","-","","-","0",""
"アセアン株式","0","0","0.00","0","0.00","0","-","","-","",""
"投資信託","3,780,115","+4,306","+0.11","+267,612","+7.62","+1,346,794","-","","-","0",""
"楽天・マネーファンド","0","0","0.00","0","0.00","-","-","","-","",""
"外貨建MMF","0","0","0.00","0","0.00","0","-","","-","",""
"国内債券","0","0","0.00","0","0.00","0","-","","-","",""
"外国債券","0","0","0.00","0","0.00","0","-","","-","",""
"金・プラチナ","0","0","0.00","0","0.00","0","-","","-"

"預り金合計","259,963","+427","+0.16","+117,147","+82.03","-","-","","","",""
"預り金","128,813","0","0.00","+128,813","0.00","-","-","","","",""
"外貨預り金","131,150","+427","+0.33","-11,666","-8.17","-","-","","","",""

"楽天銀行普通預金残高","未取得"


"■ 保有商品詳細 (すべて）"

"種別","銘柄コード・ティッカー","銘柄","口座","保有数量","［単位］","平均取得価額","［単位］","現在値","［単位］","現在値(更新日)","(参考為替)","前日比","［単位］","時価評価額[円]","時価評価額[外貨]","評価損益[円]","評価損益[％]"
"国内株式","1326","ＳＰＤＲゴールド・シェア","特定","1","株","18,430.00","円","64,950.0","円","","","-50.0","円","64,950","-","+46,520","+252.41"
"国内株式","1542","純銀上場信託","特定","2","株","7,690.00","円","35,690.0","円","","","+1,490.0","円","71,380","-","+56,000","+364.10"
"国内株式","1674","ＷＴ白金上場投信","特定","2","株","10,447.50","円","34,940.0","円","","","+2,900.0","円","69,880","-","+48,985","+234.43"
"国内株式","1693","ＷＴ銅上場投信","特定","10","株","3,480.50","円","7,878.0","円","","","+274.0","円","78,780","-","+43,975","+126.34"
"国内株式","1693","ＷＴ銅上場投信","一般","10","株","7,451.90","円","7,878.0","円","","","+274.0","円","78,780","-","+4,261","+5.71"
"国内株式","2516","東証グロース２５０ＥＴＦ","特定","30","株","887.50","円","535.5","円","","","+2.3","円","16,065","-","-10,560","-39.66"
"国内株式","4755","楽天グループ","NISA成長投資枠","100","株","867.00","円","1,021.0","円","","","-22.0","円","102,100","-","+15,400","+17.76"
"米国株式","EPHE","iシェアーズ MSCI フィリピン ETF","特定","2","株","32.9450","USD","24.9400","USD","","","+0.0100","USD","7,797","49.88 USD","+921","+13.39"
"米国株式","MGA","マグナ・インターナショナル","特定","2","株","62.5350","USD","53.7800","USD","","","-0.1200","USD","16,813","107.56 USD","+3,726","+28.47"
"米国株式","EGHT","8X8","NISA成長投資枠","5","株","1.8500","USD","1.9900","USD","","","+0.0200","USD","1,555","9.95 USD","+190","+13.91"
"米国株式","QUBT","クオンタム・コンピューティング","NISA成長投資枠","1","株","15.7900","USD","11.4200","USD","","","-0.3100","USD","1,785","11.42 USD","-549","-23.52"
"米国株式","MU","マイクロン　テクノロジー","NISA成長投資枠","1","株","122.9400","USD","286.6800","USD","","","+10.4100","USD","44,813","286.68 USD","+26,636","+146.53"
"米国株式","TQQQ","プロシェアーズ・ウルトラプロQQQ","一般","2","株","53.3750","USD","55.3600","USD","","","+0.3500","USD","17,307","110.72 USD","+654","+3.92"
"米国株式","IYR","iシェアーズ 米国不動産 ETF","特定","2","株","86.4300","USD","94.2200","USD","","","+0.6800","USD","29,456","188.44 USD","+11,416","+63.28"
"投資信託","","NZAM・ベータ 米国REIT","NISA成長投資枠","6,589","口","22,765.21","円","23,167","円","","","+130","円","15,265","-","+265","+1.76"
"投資信託","","たわらノーロード インド株式Nifty50","NISA成長投資枠","19,853","口","10,074.04","円","10,117","円","","","-1","円","20,085","-","+85","+0.42"
"投資信託","","ニッセイSOX指数インデックスファンド(米国半導体株)＜購入・換金手数料なし＞","NISA成長投資枠","3,665","口","27,285.13","円","27,090","円","","","+22","円","9,928","-","-72","-0.71"
"投資信託","","三菱UFJ 純金ファンド(ファインゴールド)","NISA成長投資枠","35,616","口","44,923.63","円","54,803","円","","","+415","円","195,186","-","+35,186","+21.99"
"投資信託","","eMAXIS Slim 先進国債券インデックス(除く日本)","NISA成長投資枠","20,439","口","14,677.82","円","15,194","円","","","-18","円","31,055","-","+1,055","+3.51"
"投資信託","","eMAXIS Slim 米国株式(S&P500)","NISAつみたて投資枠","141,242","口","32,095.91","円","39,519","円","","","+51","円","558,174","-","+104,845","+23.12"
